k,1e-09_sc_low,1e-09_sc_upp,1e-09_hf_low,1e-09_hf_upp
178,0.6621868270293466,0.8695518968181987,0.6618053236490914,0.8931946763509085
179,0.6607875469821909,0.868555967918731,0.6605553236490914,0.8919446763509086
180,0.6593895678054454,0.86755873870082,0.6593053236490914,0.8906946763509086
181,0.6579928819500726,0.8665602166821368,0.6580553236490915,0.8894446763509086
182,0.6565974819736257,0.8655604092748054,0.6568053236490914,0.8881946763509085
183,0.6552033605382928,0.8645593237873151,0.6555553236490914,0.8869446763509086
184,0.6538105104090032,0.8635569674263949,0.6543053236490914,0.8856946763509086
185,0.6524189244515779,0.8625533472988295,0.6530553236490915,0.8844446763509086
186,0.6510285956309044,0.8615484704132371,0.6518053236490914,0.8831946763509085
187,0.6496395170091798,0.8605423436818171,0.6505553236490914,0.8819446763509086
188,0.6482516817441806,0.8595349739220388,0.6493053236490914,0.8806946763509086
189,0.6468650830875827,0.8585263678583029,0.6480553236490915,0.8794446763509086
190,0.6454797143833063,0.8575165321235565,0.6468053236490914,0.8781946763509085
191,0.6440955690659201,0.8565054732608818,0.6455553236490914,0.8769446763509086
192,0.642712640659062,0.8554931977250334,0.6443053236490914,0.8756946763509086
193,0.6413309227739056,0.8544797118839539,0.6430553236490915,0.8744446763509086
194,0.6399504091076689,0.8534650220202501,0.6418053236490914,0.8731946763509085
195,0.6385710934421437,0.8524491343326299,0.6405553236490914,0.8719446763509086
196,0.6371929696422611,0.851432054937316,0.6393053236490914,0.8706946763509086
197,0.6358160316547029,0.8504137898694271,0.6380553236490915,0.8694446763509086
198,0.6344402735065229,0.8493943450843169,0.6368053236490914,0.8681946763509085
199,0.6330656893038187,0.8483737264589,0.6355553236490914,0.8669446763509085
200,0.6316922732304219,0.8473519397929351,0.6343053236490914,0.8656946763509086
201,0.6303200195466155,0.8463289908102859,0.6330553236490915,0.8644446763509086
202,0.6289489225878929,0.8453048851601562,0.6318053236490915,0.8631946763509086
203,0.627578976763728,0.8442796284182915,0.6305553236490914,0.8619446763509085
204,0.626210176556383,0.8432532260881603,0.6293053236490914,0.8606946763509086
205,0.6248425165197381,0.8422256836021089,0.6280553236490914,0.8594446763509086
206,0.6234759912781487,0.8411970063224884,0.6268053236490915,0.8581946763509086
207,0.6221105955253234,0.8401671995427605,0.6255553236490914,0.8569446763509085
208,0.6207463240232312,0.8391362684885783,0.6243053236490914,0.8556946763509086
209,0.6193831716010307,0.8381042183188452,0.6230553236490914,0.8544446763509086
210,0.6180211331540126,0.8370710541267481,0.6218053236490915,0.8531946763509086
211,0.6166602036425878,0.8360367809407777,0.6205553236490914,0.8519446763509085
212,0.6153003780912636,0.8350014037257121,0.6193053236490914,0.8506946763509086
213,0.6139416515876734,0.8339649273835991,0.6180553236490914,0.8494446763509086
214,0.6125840192816144,0.8329273567547024,0.6168053236490915,0.8481946763509086
215,0.6112274763840925,0.8318886966184287,0.6155553236490914,0.8469446763509085
216,0.6098720181664082,0.8308489516942521,0.6143053236490914,0.8456946763509086
217,0.6085176399592488,0.8298081266425994,0.6130553236490914,0.8444446763509086
218,0.607164337151803,0.8287662260657298,0.6118053236490915,0.8431946763509086
219,0.6058121051908891,0.8277232545085906,0.6105553236490914,0.8419446763509085
220,0.6044609395801153,0.8266792164596628,0.6093053236490914,0.8406946763509086
221,0.6031108358790334,0.8256341163517753,0.6080553236490914,0.8394446763509086
222,0.6017617897023313,0.8245879585629223,0.6068053236490915,0.8381946763509086
223,0.6004137967190343,0.8235407474170489,0.6055553236490914,0.8369446763509085
224,0.5990668526517178,0.8224924871848245,0.6043053236490914,0.8356946763509085
225,0.5977209532757367,0.821443182084405,0.6030553236490914,0.8344446763509086
226,0.5963760944184837,0.8203928362821802,0.6018053236490915,0.8331946763509086
227,0.5950322719586429,0.8193414538934963,0.6005553236490915,0.8319446763509086
228,0.593689481825466,0.8182890389833768,0.5993053236490914,0.8306946763509085
229,0.5923477199980719,0.8172355955672245,0.5980553236490914,0.8294446763509086
230,0.5910069825047447,0.8161811276115047,0.5968053236490914,0.8281946763509086
231,0.5896672654222546,0.8151256390344235,0.5955553236490915,0.8269446763509086
232,0.5883285648751931,0.8140691337065877,0.5943053236490914,0.8256946763509085
233,0.5869908770353143,0.8130116154516529,0.5930553236490914,0.8244446763509086
234,0.5856541981208938,0.81195308804696,0.5918053236490914,0.8231946763509086
235,0.5843185243961035,0.810893555224159,0.5905553236490915,0.8219446763509086
236,0.5829838521703837,0.8098330206698189,0.5893053236490914,0.8206946763509085
237,0.5816501777978464,0.8087714880260337,0.5880553236490914,0.8194446763509086
238,0.5803174976766778,0.807708960891005,0.5868053236490914,0.8181946763509086
239,0.5789858082485616,0.8066454428196221,0.5855553236490915,0.8169446763509086
240,0.5776551059980964,0.8055809373240252,0.5843053236490914,0.8156946763509085
241,0.5763253874522386,0.8045154478741678,0.5830553236490914,0.8144446763509086
242,0.5749966491797571,0.8034489778983602,0.5818053236490914,0.8131946763509086
243,0.573668887790688,0.8023815307838016,0.5805553236490915,0.8119446763509086
244,0.5723420999358073,0.801313109877108,0.5793053236490914,0.8106946763509085
245,0.5710162823061076,0.8002437184848281,0.5780553236490914,0.8094446763509086
246,0.5696914316322915,0.7991733598739497,0.5768053236490914,0.8081946763509086
247,0.5683675446842721,0.7981020372723944,0.5755553236490915,0.8069446763509086
248,0.5670446182706718,0.7970297538695051,0.5743053236490914,0.8056946763509085
249,0.5657226492383532,0.7959565128165306,0.5730553236490914,0.8044446763509085
250,0.564401634471933,0.7948823172270858,0.5718053236490914,0.8031946763509086
251,0.5630815708933293,0.7938071701776227,0.5705553236490915,0.8019446763509086
252,0.5617624554612928,0.7927310747078735,0.5693053236490915,0.8006946763509086
253,0.5604442851709662,0.7916540338213053,0.5680553236490914,0.7994446763509085
254,0.5591270570534456,0.79057605048555,0.5668053236490914,0.7981946763509086
255,0.5578107681753429,0.7894971276328334,0.5655553236490914,0.7969446763509086
256,0.5564954156383648,0.7884172681603986,0.5643053236490915,0.7956946763509086
257,0.5551809965788956,0.7873364749309195,0.5630553236490914,0.7944446763509085
258,0.5538675081675904,0.7862547507729045,0.5618053236490914,0.7931946763509086
259,0.5525549476089676,0.7851720984810966,0.5605553236490914,0.7919446763509086
260,0.5512433121410256,0.784088520816866,0.5593053236490915,0.7906946763509086
261,0.5499325990348377,0.7830040205085903,0.5580553236490914,0.7894446763509085
262,0.5486228055941922,0.7819186002520417,0.5568053236490914,0.7881946763509086
263,0.5473139291552062,0.7808322627107463,0.5555553236490914,0.7869446763509086
264,0.5460059670859556,0.7797450105163548,0.5543053236490915,0.7856946763509086
265,0.5446989167861299,0.7786568462690053,0.5530553236490914,0.7844446763509085
266,0.5433927756866616,0.7775677725376618,0.5518053236490914,0.7831946763509086
267,0.5420875412493833,0.7764777918604739,0.5505553236490914,0.7819446763509086
268,0.540783210966696,0.7753869067451113,0.5493053236490915,0.7806946763509086
269,0.5394797823612181,0.774295119669089,0.5480553236490914,0.7794446763509085
270,0.5381772529854629,0.7732024330801095,0.5468053236490914,0.7781946763509086
271,0.5368756204215192,0.7721088493963766,0.5455553236490914,0.7769446763509086
272,0.5355748822807223,0.7710143710069082,0.5443053236490915,0.7756946763509086
273,0.5342750362033478,0.7699190002718581,0.5430553236490914,0.7744446763509085
274,0.532976079858309,0.7688227395228129,0.5418053236490914,0.7731946763509085
275,0.5316780109428386,0.7677255910630906,0.5405553236490914,0.7719446763509086
276,0.5303808271822116,0.766627557168048,0.5393053236490915,0.7706946763509086
277,0.5290845263294451,0.7655286400853547,0.5380553236490915,0.7694446763509086
278,0.5277891061649981,0.7644288420352847,0.5368053236490914,0.7681946763509085
279,0.526494564496521,0.7633281652110081,0.5355553236490914,0.7669446763509086
280,0.5252008991585491,0.7622266117788399,0.5343053236490914,0.7656946763509086
281,0.523908108012245,0.7611241838785361,0.5330553236490915,0.7644446763509086
282,0.5226161889451294,0.7600208836235457,0.5318053236490914,0.7631946763509085
283,0.5213251398708187,0.758916713101276,0.5305553236490914,0.7619446763509086
284,0.5200349587287662,0.7578116743733468,0.5293053236490914,0.7606946763509086
285,0.5187456434840071,0.7567057694758443,0.5280553236490915,0.7594446763509086
286,0.5174571921269132,0.7555990004195703,0.5268053236490914,0.7581946763509085
287,0.5161696026729407,0.754491369190282,0.5255553236490914,0.7569446763509086
288,0.5148828731623983,0.7533828777489385,0.5243053236490914,0.7556946763509086
289,0.5135970016602052,0.7522735280319268,0.5230553236490915,0.7544446763509086
290,0.5123119862556585,0.7511633219513003,0.5218053236490914,0.7531946763509085
291,0.5110278250622109,0.7500522613950038,0.5205553236490914,0.7519446763509086
292,0.5097445162172332,0.7489403482270938,0.5193053236490914,0.7506946763509086
293,0.5084620578818068,0.7478275842879671,0.5180553236490915,0.7494446763509086
294,0.5071804482404987,0.7467139713945665,0.5168053236490914,0.7481946763509085
295,0.505899685501152,0.7455995113406004,0.5155553236490914,0.7469446763509086
296,0.5046197678946774,0.7444842058967462,0.5143053236490914,0.7456946763509086
297,0.5033406936748419,0.7433680568108572,0.5130553236490915,0.7444446763509086
298,0.5020624611180691,0.7422510658081655,0.5118053236490914,0.7431946763509085
299,0.5007850685232442,0.7411332345914801,0.5105553236490914,0.7419446763509085
300,0.4995085142115119,0.7400145648413763,0.5093053236490914,0.7406946763509086
301,0.49823279652609087,0.7388950582163949,0.5080553236490915,0.7394446763509086
302,0.4969579138320752,0.7377747163532216,0.5068053236490915,0.7381946763509086
303,0.495683864516261,0.7366535408668822,0.5055553236490914,0.7369446763509085
304,0.494410646986958,0.7355315333509131,0.5043053236490914,0.7356946763509086
305,0.49313825967380676,0.7344086953775445,0.5030553236490914,0.7344446763509086
306,0.49186670102760677,0.7332850284978796,0.5018053236490915,0.7331946763509086
307,0.49059596952014806,0.7321605342420618,0.5005553236490914,0.7319446763509085
308,0.48932606364402975,0.7310352141194423,0.49930532364909147,0.7306946763509086
309,0.488056981912504,0.7299090696187533,0.4980553236490915,0.7294446763509086
310,0.4867887228593062,0.7287821022082644,0.4968053236490915,0.7281946763509086
311,0.48552128503849723,0.7276543133359481,0.49555532364909144,0.7269446763509085
312,0.4842546670242929,0.7265257044296319,0.49430532364909147,0.7256946763509086
313,0.4829888674109306,0.7253962768971669,0.4930553236490915,0.7244446763509086
314,0.48172388481249884,0.7242660321265583,0.4918053236490915,0.7231946763509086
315,0.48045971786279007,0.7231349714861324,0.49055532364909143,0.7219446763509085
316,0.4791963652151596,0.722003096324679,0.48930532364909146,0.7206946763509086
317,0.47793382554237096,0.7208704079715912,0.4880553236490915,0.7194446763509086
318,0.47667209753646445,0.7197369077370155,0.4868053236490915,0.7181946763509086
319,0.4754111799086129,0.7186025969119811,0.48555532364909143,0.7169446763509085
320,0.47415107138897983,0.7174674767685413,0.48430532364909146,0.7156946763509086
321,0.4728917707265845,0.7163315485599104,0.4830553236490915,0.7144446763509086
322,0.47163327668918575,0.7151948135205969,0.4818053236490915,0.7131946763509086
323,0.4703755880631276,0.7140572728665195,0.4805553236490914,0.7119446763509085
324,0.4691187036532324,0.7129189277951524,0.47930532364909145,0.7106946763509085
325,0.4678626222826652,0.7117797794856358,0.4780553236490915,0.7094446763509086
326,0.46660734279281035,0.7106398290989044,0.4768053236490915,0.7081946763509086
327,0.4653528640431541,0.7094990777778101,0.47555532364909153,0.7069446763509086
328,0.46409918491117175,0.7083575266472366,0.47430532364909145,0.7056946763509085
329,0.4628463042922015,0.7072151768142089,0.4730553236490915,0.7044446763509086
330,0.4615942210993298,0.706072029368017,0.4718053236490915,0.7031946763509086
331,0.4603429342632902,0.7049280853803281,0.47055532364909153,0.7019446763509086
332,0.45909244273234795,0.7037833459052858,0.46930532364909144,0.7006946763509085
333,0.4578427454721933,0.7026378119796224,0.46805532364909147,0.6994446763509086
334,0.45659384146582527,0.701491484622763,0.4668053236490915,0.6981946763509086
