N_out,P_low,P_upp
0,0.7112809869106458,1.0
1,0.6379410024606457,0.9999919992318996
2,0.577972345716178,0.9991783462787182
3,0.5251270792539063,0.9954576956350061
4,0.47709666068260725,0.9882173877897182
5,0.4327179271573469,0.9777417794661181
6,0.39130983495022464,0.9644266479026351
7,0.35243772912738125,0.9486056224634388
8,0.31580976484608825,0.9305342082592075
9,0.28122495340984743,0.9104021004571384
10,0.24854473490071927,0.8883469304844915
11,0.21767657449848832,0.8644647608529668
12,0.18856432847054205,0.838817194010262
13,0.16118280598973622,0.811435671529456
14,0.13553523914703158,0.7823234255015096
15,0.11165306951550702,0.7514552650992785
16,0.08959789954286024,0.7187750465901501
17,0.06946579174079137,0.6841902351539093
18,0.051394377536560176,0.6475622708726161
19,0.03557335209736423,0.6086901650497727
20,0.02225822053388138,0.5672820728426502
21,0.011782612210281429,0.5229033393173896
22,0.00454230436499381,0.47487292074609067
23,0.0008216537212817343,0.42202765428381905
24,8.000768100369093e-06,0.3620589975393512
25,0.0,0.28871901308935033
