N_out,P_low,P_upp
0,0.8317637711026639,1.0
1,0.7885479676926368,0.9999979999019936
2,0.7524465451432079,0.9997129711804902
3,0.7200137772730602,0.9982426015441985
4,0.6899769780680488,0.9952307621553138
5,0.6616922360548433,0.9907788698377167
6,0.6347784343682107,0.9850755077495189
7,0.6089873231932942,0.978293222154388
8,0.5841463791600511,0.970572465688492
9,0.5601299900771883,0.9620247739041449
10,0.536843457652642,0.9527387655123567
11,0.5142134574161356,0.9427854281809047
12,0.4921820251512785,0.9322221940962517
13,0.4707025951836348,0.9210959722730825
14,0.44973729522900785,0.9094453914032
15,0.4292550441315297,0.8973024670394902
16,0.40923018142182754,0.8846938518532187
17,0.3896414603170082,0.871641782278034
18,0.37047129608434526,0.8581648015991604
19,0.35170519844608195,0.8442783161200421
20,0.333331339857736,0.8299950246940496
21,0.31534022652162785,0.8153252504661406
22,0.29772444903061945,0.8002771955731488
23,0.2804784964248517,0.78485713373122
24,0.2635986223163238,0.7690695513642369
25,0.24708275530448875,0.7529172446955097
26,0.23093044863576162,0.7364013776836746
27,0.21514286626877854,0.7195215035751465
28,0.19972280442684975,0.7022755509693788
29,0.1846747495338581,0.6846597734783704
30,0.17000497530594905,0.6666686601422622
31,0.15572168387995666,0.6482948015539163
32,0.14183519840083836,0.6295287039156527
33,0.12835821772196487,0.6103585396829898
34,0.1153061481467802,0.5907698185781705
35,0.10269753296050876,0.5707449558684683
36,0.09055460859679909,0.5502627047709902
37,0.07890402772691663,0.5292974048163632
38,0.06777780590374749,0.5078179748487195
39,0.057214571819094506,0.48578654258386245
40,0.047261234487642634,0.46315654234735604
41,0.037975226095854575,0.43987000992280956
42,0.029427534311507575,0.4158536208399469
43,0.021706777845611702,0.3910126768067037
44,0.014924492250480759,0.3652215656317873
45,0.009221130162283098,0.3383077639451547
46,0.0047692378446859696,0.3100230219319492
47,0.0017573984558013622,0.27998622272693785
48,0.00028702881950981585,0.24755345485679014
49,2.0000980064383e-06,0.21145203230736132
50,0.0,0.16823622889733592
