N_out,P_low,P_upp
0,0.9970179196469637,1.0
1,0.996527554153722,0.9999999999992187
2,0.9961111571984123,0.9999999843732584
3,0.9957329841632897,0.9999995140415491
4,0.9953795082056074,0.9999970802969738
5,0.9950437805228758,0.9999910103169891
6,0.9947216433223894,0.9999802978415042
7,0.9944103646899844,0.999964571129303
8,0.9941080312066818,0.999943842768522
9,0.9938132388319082,0.9999183185508368
10,0.9935249200070956,0.9998882865635498
11,0.993242239897884,0.999854058968728
12,0.9929645306267345,0.9998159432638514
13,0.9926912477184889,0.9997742291397836
14,0.9924219402006128,0.9997291833709365
15,0.9921562294509524,0.9996810487393649
16,0.9918937938469956,0.9996300449012727
17,0.9916343573781562,0.9995763701086551
18,0.9913776810351183,0.999520203227271
19,0.9911235561889448,0.9994617057709976
20,0.9908717994240385,0.9994010238198955
21,0.9906222484519925,0.9993382897667018
22,0.9903747588416183,0.9992736238764613
23,0.9901292013739249,0.9992071356639357
24,0.9898854598817064,0.9991389251025993
25,0.9896434294692384,0.9990690836825079
26,0.9894030150332606,0.9989976953348455
27,0.989164130025062,0.9989248372400429
28,0.9889266954072254,0.998850580534808
29,0.9886906387688108,0.9987749909316587
30,0.9884558935704786,0.998698129262821
31,0.9882223984969277,0.998620051958752
32,0.9879900968985407,0.9985408114701146
33,0.9877589363076389,0.9984604566407743
34,0.9875288680174952,0.9983790330383032
35,0.9872998467144146,0.9982965832475457
36,0.9870718301549206,0.998213147132005
37,0.9868447788814548,0.9981287620671329
38,0.9866186559711133,0.9980434631490297
39,0.9863934268128378,0.9979572833815769
40,0.9861690589092155,0.9978702538446019
41,0.9859455216996397,0.9977824038453303
42,0.9857227864020809,0.9976937610550702
43,0.985500825871125,0.9976043516328243
44,0.9852796144702788,0.997514200337301
45,0.9850591279568255,0.9974233306286073
46,0.9848393433777538,0.9973317647607489
47,0.984620238975484,0.9972395238659163
48,0.9844017941022865,0.9971466280314236
49,0.9841839891424308,0.9970530963700581
50,0.983966805441228,0.9969589470845089
51,0.9837502252402349,0.9968641975264685
52,0.9835342316179747,0.9967688642509296
53,0.9833188084356145,0.9966729630661414
54,0.9831039402870982,0.9965765090796399
55,0.9828896124532976,0.9964795167407183
56,0.9826758108597915,0.9963819998796667
57,0.9824625220379283,0.9962839717440735
58,0.9822497330888652,0.996185445032452
59,0.982037431650309,0.9960864319254271
60,0.9818256058657161,0.9959869441146937
61,0.981614244355731,0.9958869928299366
62,0.9814033361916685,0.9957865888638852
63,0.9811928708708642,0.9956857425956557
64,0.980982838293732,0.9955844640125221
65,0.98077322874239,0.995482762730243
66,0.9805640328607225,0.9953806480120575
67,0.9803552416357627,0.9952781287864563
68,0.980146846380292,0.9951752136638218
69,0.9799388387165577,0.9950719109520239
70,0.9797312105610243,0.9949682286710498
71,0.9795239541100785,0.9948641745667406
72,0.9793170618266154,0.994759756123698
73,0.9791105264274418,0.9946549805774249
74,0.9789043408714353,0.9945498549257499
75,0.9786984983484042,0.994444385939592
76,0.9784929922686001,0.9943385801731054
77,0.9782878162528343,0.9942324439732528
78,0.9780829641231585,0.9941259834888414
79,0.9778784298940689,0.9940192046790612
80,0.9776742077641994,0.9939121133215569
81,0.977470292108471,0.9938047150200641
82,0.9772666774706666,0.9936970152116392
83,0.9770633585564032,0.9935890191735077
84,0.9768603302264768,0.9934807320295563
85,0.9766575874905548,0.99337215875649
86,0.9764551255011954,0.9932633041896763
87,0.976252939548172,0.9931541730286948
88,0.9760510250530849,0.9930447698426099
89,0.9758493775642423,0.9929350990749843
90,0.9756479927517938,0.9928251650486479
91,0.9754468664031032,0.9927149719702364
92,0.9752459944183434,0.9926045239345134
93,0.9750453728063032,0.9924938249284885
94,0.9748449976803925,0.9923828788353428
95,0.974644865254834,0.9922716894381726
96,0.9744449718410323,0.9921602604235613
97,0.9742453138441094,0.9920485953849906
98,0.9740458877595968,0.9919366978260964
99,0.9738466901702773,0.9918245711637822
100,0.9736477177431673,0.9917122187311933
101,0.9734489672266317,0.9915996437805633
102,0.9732504354476248,0.9914868494859357
103,0.973052119309051,0.9913738389457704
104,0.9728540157872377,0.991260615185439
105,0.9726561219295162,0.9911471811596156
106,0.972458434851904,0.9910335397545686
107,0.9722609517368827,0.9909196937903564
108,0.9720636698312692,0.9908056460229349
109,0.9718665864441727,0.9906913991461792
110,0.9716696989450345,0.990576955793824
111,0.9714730047617469,0.9904623185413267
112,0.9712765013788471,0.9903474899076574
113,0.9710801863357812,0.9902324723570185
114,0.9708840572252374,0.9901172683004978
115,0.9706881116915432,0.990001880097658
116,0.970492347429124,0.9898863100580658
117,0.9702967621810206,0.9897705604427631
118,0.9701013537374626,0.9896546334656826
119,0.9699061199344956,0.9895385312950116
120,0.9697110586526589,0.9894222560545048
121,0.9695161678157121,0.9893058098247496
122,0.9693214453894085,0.989189194644385
123,0.969126889380312,0.989072412511277
124,0.9689324978346584,0.9889554653836518
125,0.9687382688372548,0.988838355181189
126,0.9685442005104206,0.9887210837860761
127,0.9683502910129631,0.988603653044027
128,0.9681565385391911,0.9884860647652636
129,0.9679629413179611,0.9883683207254658
130,0.9677694976117565,0.9882504226666874
131,0.9675762057157984,0.9881323722982417
132,0.9673830639571868,0.9880141712975576
133,0.9671900706940694,0.9878958213110064
134,0.9669972243148394,0.9877773239547017
135,0.966804523237359,0.9876586808152736
136,0.9666119659082084,0.9875398934506163
137,0.9664195508019598,0.9874209633906125
138,0.9662272764204742,0.987301892137834
139,0.9660351412922211,0.9871826811682209
140,0.9658431439716201,0.9870633319317377
141,0.9656512830384024,0.9869438458530094
142,0.965459557096994,0.986824224331939
143,0.9652679647759166,0.9867044687443035
144,0.9650765047272072,0.9865845804423335
145,0.9648851756258569,0.9864645607552739
146,0.9646939761692656,0.9863444109899278
147,0.964502905076713,0.9862241324311843
148,0.9643119610888473,0.9861037263425302
149,0.964121142967187,0.9859831939665464
150,0.9639304494936389,0.9858625365253897
151,0.9637398794700305,0.9857417552212601
152,0.963549431717655,0.9856208512368552
153,0.9633591050768302,0.9854998257358105
154,0.9631688984064709,0.9853786798631278
155,0.9629788105836724,0.98525741474559
156,0.9627888405033064,0.9851360314921664
157,0.9625989870776285,0.985014531194404
158,0.9624092492358968,0.984892914926809
159,0.962219625924001,0.984771183747218
160,0.9620301161041023,0.9846493386971582
161,0.961840718754282,0.9845273808021977
162,0.9616514328682022,0.9844053110722863
163,0.9614622574547728,0.9842831305020875
164,0.9612731915378301,0.9841608400713002
165,0.9610842341558228,0.9840384407449734
166,0.9608953843615066,0.9839159334738109
167,0.9607066412216472,0.9837933191944692
168,0.9605180038167309,0.9836705988298464
169,0.9603294712406836,0.9835477732893643
170,0.9601410426005956,0.9834248434692424
171,0.9599527170164556,0.9833018102527659
172,0.9597644936208901,0.9831786745105452
173,0.9595763715589101,0.98305543710077
174,0.9593883499876641,0.9829320988694564
175,0.9592004280761978,0.982808660650688
176,0.9590126050052193,0.9826851232668496
177,0.9588248799668709,0.9825614875288577
178,0.9586372521645061,0.9824377542363825
179,0.9584497208124722,0.9823139241780654
180,0.9582622851358984,0.982189998131732
181,0.9580749443704898,0.9820659768645985
182,0.957887697762325,0.9819418611334735
183,0.9577005445676595,0.9818176516849556
184,0.9575134840527348,0.981693349255625
185,0.9573265154935898,0.9815689545722313
186,0.9571396381758791,0.9814444683518767
187,0.9569528513946939,0.9813198913021948
188,0.9567661544543884,0.9811952241215246
189,0.9565795466684092,0.9810704674990817
190,0.9563930273591299,0.9809456221151237
191,0.9562065958576884,0.9808206886411137
192,0.9560202515038289,0.9806956677398783
193,0.9558339936457467,0.980570560065763
194,0.9556478216399379,0.9804453662647835
195,0.9554617348510507,0.980320086974774
196,0.9552757326517416,0.9801947228255317
197,0.9550898144225346,0.9800692744389581
198,0.9549039795516827,0.9799437424291975
199,0.9547182274350337,0.9798181274027717
200,0.9545325574758979,0.9796924299587126
201,0.9543469690849198,0.9795666506886911
202,0.9541614616799516,0.9794407901771431
203,0.9539760346859306,0.9793148490013939
204,0.953790687534758,0.9791888277317781
205,0.9536054196651816,0.9790627269317582
206,0.9534202305226801,0.9789365471580408
207,0.9532351195593503,0.9788102889606887
208,0.9530500862337967,0.9786839528832324
209,0.9528651300110239,0.9785575394627782
210,0.9526802503623298,0.9784310492301146
211,0.9524954467652033,0.9783044827098154
212,0.9523107187032219,0.9781778404203421
213,0.9521260656659534,0.978051122874143
214,0.9519414871488581,0.9779243305777509
215,0.9517569826531938,0.977797464031878
216,0.9515725516859229,0.9776705237315101
217,0.9513881937596211,0.9775435101659975
218,0.9512039083923878,0.977416423819145
219,0.9510196951077586,0.9772892651692994
220,0.95083555343462,0.977162034689436
221,0.9506514829071248,0.9770347328472425
222,0.9504674830646098,0.9769073601052018
223,0.9502835534515157,0.9767799169206729
224,0.9500996936173075,0.9766524037459702
225,0.9499159031163967,0.9765248210284413
226,0.9497321815080664,0.9763971692105434
227,0.9495485283563956,0.9762694487299178
228,0.9493649432301869,0.9761416600194633
229,0.9491814257028952,0.976013803507408
230,0.9489979753525563,0.9758858796173795
231,0.9488145917617192,0.9757578887684746
232,0.9486312745173782,0.9756298313753264
233,0.9484480232109066,0.9755017078481715
234,0.9482648374379918,0.9753735185929142
235,0.9480817167985716,0.9752452640111912
236,0.9478986608967715,0.9751169445004341
237,0.9477156693408441,0.9749885604539312
238,0.9475327417431074,0.9748601122608875
239,0.9473498777198877,0.9747316003064842
240,0.9471670768914597,0.9746030249719368
241,0.9469843388819913,0.9744743866345524
242,0.9468016633194867,0.9743456856677856
243,0.9466190498357318,0.9742169224412931
244,0.9464364980662405,0.9740880973209887
245,0.9462540076502023,0.9739592106690952
246,0.9460715782304295,0.9738302628441973
247,0.9458892094533072,0.9737012542012924
248,0.9457069009687425,0.9735721850918405
249,0.9455246524301163,0.9734430558638142
250,0.945342463494234,0.9733138668617464
251,0.9451603338212791,0.9731846184267782
252,0.9449782630747661,0.9730553108967057
253,0.944796250921495,0.9729259446060258
254,0.9446142970315063,0.9727965198859809
255,0.9444324010780372,0.972667037064604
