N_out,P_low,P_upp
0,0.9960254313433471,1.0
1,0.9951830427742528,0.9999999995597387
2,0.9944675096671148,0.9999994884725075
3,0.9938163349576477,0.9999938161984558
4,0.9932062645860453,0.9999767055225979
5,0.9926254925272141,0.9999455541845558
6,0.9920670172399478,0.9999004151831992
7,0.9915262706088231,0.9998423536130882
8,0.9910000715316004,0.9997726733934501
9,0.9904860969841105,0.999692631423089
10,0.9899825878961818,0.9996033499858903
11,0.9894881735368746,0.9995058029414075
12,0.9890017606962572,0.9994008271654511
13,0.9885224605867378,0.9992891408410077
14,0.9880495388395478,0.9991713618804821
15,0.9875823802436121,0.9990480242803684
16,0.9871204632300188,0.9989195919346388
17,0.9866633409939307,0.9987864700553474
18,0.9862106272549221,0.9986490145362937
19,0.9857619853323695,0.998507539616378
20,0.9853171196373826,0.9983623241620514
21,0.9848757689574543,0.9982136168362821
22,0.9844377010920525,0.9980616403711016
23,0.9840027085206807,0.9979065951173868
24,0.9835706048701309,0.9977486620099629
25,0.9831412220075576,0.997588005057691
26,0.9827144076288122,0.997424773445757
27,0.9822900232425332,0.9972591033197385
28,0.9818679424733017,0.9970911193071788
29,0.9814480496241585,0.9969209358215089
30,0.9810302384515639,0.9967486581845827
31,0.9806144111155962,0.9965743835972859
32,0.980200477275662,0.9963982019822896
33,0.9797883533077734,0.9962201967187027
34,0.9793779616239756,0.9960404452849161
35,0.9789692300780717,0.9958590198231456
36,0.9785620914446225,0.995675987636915
37,0.9781564829604626,0.9954914116308838
38,0.9777523459197918,0.9953053507009186
39,0.9773496253153758,0.9951178600810673
40,0.9769482695195928,0.9949289916530787
41,0.9765482300000395,0.9947387942232626
42,0.976149461065226,0.9945473137707787
43,0.9757519196365518,0.9943545936708599
44,0.9753555650433171,0.9941606748959774
45,0.974960358837983,0.9939655961975411
46,0.9745662646292883,0.9937693942703799
47,0.9741732479311538,0.9935721039019444
48,0.973781276025586,0.9933737581079258
49,0.9733903178380252,0.9931743882557664
50,0.9730003438237835,0.9929740241773511
51,0.9726113258643885,0.9927726942720145
52,0.9722232371727965,0.9925704256008548
53,0.971836052206565,0.9923672439732361
54,0.97144974658818,0.9921631740262488
55,0.9710642970318307,0.9919582392978175
56,0.9706796812760061,0.9917524622940634
57,0.9702958780213541,0.9915458645514617
58,0.9699128668733125,0.9913384666942763
59,0.9695306282890683,0.9911302884877028
60,0.9691491435284547,0.9909213488871037
61,0.9687683946084318,0.9907116660836797
62,0.9683883642608384,0.9905012575468892
63,0.9680090358931308,0.9902901400638916
64,0.9676303935518534,0.990078329776266
65,0.9672524218886146,0.989865842214232
66,0.9668751061283577,0.9896526923285764
67,0.966498432039744,0.9894388945204702
68,0.9661223859074748,0.9892244626693439
69,0.9657469545064027,0.9890094101589743
70,0.9653721250772899,0.9887937499019179
71,0.9649978853040893,0.9885774943624211
72,0.9646242232926313,0.988360655577918
73,0.9642511275506129,0.9881432451792217
74,0.9638785869687916,0.9879252744095066
75,0.9635065908032978,0.9877067541421654
76,0.9631351286589849,0.9874876948976244
77,0.9627641904737425,0.9872681068591888
78,0.9623937665037082,0.9870479998879848
79,0.9620238473093128,0.9868273835370625
80,0.9616544237421037,0.9866062670647151
81,0.9612854869322943,0.9863846594470665
82,0.9609170282769901,0.9861625693899775
83,0.960549039429048,0.9859400053403132
84,0.9601815122865266,0.9857169754966145
85,0.959814438982691,0.9854934878192103
86,0.9594478118765353,0.9852695500398077
87,0.9590816235437917,0.98504516967059
88,0.9587158667683948,0.9848203540128562
89,0.958350534534375,0.9845951101652274
90,0.9579856200181521,0.9843694450314473
91,0.9576211165812085,0.984143365327801
92,0.9572570177631167,0.9839168775901749
93,0.9568933172749012,0.983689988180778
94,0.9565300089927173,0.9834627032945454
95,0.9561670869518244,0.9832350289652402
96,0.9558045453408412,0.9830069710712734
97,0.9554423784962651,0.9827785353412558
98,0.95508058089724,0.9825497273592971
99,0.9547191471605619,0.9823205525700671
100,0.954358072035906,0.9820910162836307
101,0.9539973504012644,0.9818611236800694
102,0.953636977258586,0.9816308798139008
103,0.9532769477296023,0.9814002896183076
104,0.9529172570518339,0.9811693579091835
105,0.9525579005747673,0.9809380893890083
106,0.9521988737561916,0.9807064886505605
107,0.9518401721586885,0.9804745601804734
108,0.951481791446268,0.9802423083626457
109,0.9511237273811405,0.9800097374815117
110,0.9507659758206218,0.979776851725179
111,0.9504085327141611,0.9795436551884408
112,0.9500513941004883,0.9793101518756662
113,0.9496945561048736,0.9790763457035785
114,0.9493380149364945,0.9788422405039234
115,0.9489817668859057,0.9786078400260341
116,0.9486258083226053,0.978373147939297
117,0.9482701356926955,0.9781381678355243
118,0.9479147455166292,0.977902903231236
119,0.9475596343870446,0.9776673575698568
120,0.9472047989666776,0.9774315342238306
121,0.9468502359863528,0.9771954364966574
122,0.9464959422430467,0.9769590676248558
123,0.9461419145980235,0.9767224307798539
124,0.9457881499750356,0.9764855290698113
125,0.9454346453585895,0.9762483655413782
126,0.9450813977922736,0.9760109431813894
127,0.9447284043771444,0.9757732649185007
128,0.9443756622701684,0.9755353336247674
129,0.9440231686827192,0.9752971521171678
130,0.9436709208791249,0.9750587231590756
131,0.9433189161752665,0.9748200494616798
132,0.9429671519372226,0.9745811336853593
133,0.9426156255799598,0.9743419784410089
134,0.9422643345660676,0.9741025862913227
135,0.9419132764045339,0.9738629597520342
136,0.9415624486495615,0.9736231012931154
137,0.9412118488994237,0.9733830133399376
138,0.9408614747953553,0.9731426982743945
139,0.9405113240204812,0.9729021584359878
140,0.9401613942987778,0.9726613961228805
141,0.9398116833940676,0.9724204135929143
142,0.9394621891090463,0.9721792130645968
143,0.9391129092843392,0.971937796718057
144,0.9387638417975872,0.9716961666959714
145,0.9384149845625612,0.9714543251044612
146,0.9380663355283038,0.9712122740139625
147,0.9377178926782962,0.9709700154600697
148,0.9373696540296514,0.9707275514443534
149,0.9370216176323306,0.970484883935154
150,0.9366737815683838,0.9702420148683513
151,0.9363261439512118,0.9699989461481117
152,0.9359787029248516,0.969755679647613
153,0.9356314566632804,0.9695122172097482
154,0.9352844033697421,0.9692685606478092
155,0.9349375412760913,0.96902471174615
156,0.9345908686421578,0.9687806722608315
157,0.9342443837551275,0.9685364439202477
158,0.9338980849289422,0.9682920284257345
159,0.9335519705037155,0.9680474274521602
160,0.9332060388451653,0.9678026426485018
161,0.9328602883440619,0.9675576756384024
162,0.9325147174156916,0.9673125280207158
163,0.9321693244993345,0.9670672013700339
164,0.9318241080577576,0.9668216972372021
165,0.9314790665767197,0.9665760171498184
166,0.9311341985644921,0.9663301626127208
167,0.9307895025513898,0.96608413510846
168,0.930444977089317,0.9658379360977618
169,0.9301006207513232,0.9655915670199746
170,0.9297564321311722,0.9653450292935074
171,0.9294124098429215,0.9650983243162548
172,0.929068552520513,0.9648514534660115
173,0.9287248588173739,0.9646044181008764
174,0.9283813274060285,0.9643572195596459
175,0.9280379569777195,0.9641098591621969
176,0.927694746242039,0.9638623382098609
177,0.9273516939265685,0.9636146579857878
178,0.9270087987765285,0.9633668197553009
179,0.9266660595544368,0.9631188247662432
180,0.9263234750397746,0.9628706742493148
181,0.9259810440286617,0.9626223694184018
182,0.9256387653335388,0.962373911470898
183,0.9252966377828591,0.9621253015880173
184,0.9249546602207849,0.9618765409351002
185,0.9246128315068942,0.961627630661911
186,0.9242711505158927,0.9613785719029297
187,0.923929616137333,0.9611293657776357
188,0.923588227275341,0.9608800133907849
189,0.9232469828483475,0.9606305158326807
190,0.9229058817888282,0.9603808741794384
191,0.9225649230430475,0.960131089493243
192,0.92222410557081,0.9598811628226018
193,0.9218834283452172,0.9596310952025905
194,0.9215428903524288,0.9593808876550934
195,0.9212024905914312,0.9591305411890394
196,0.9208622280738105,0.9588800568006306
197,0.9205221018235298,0.9586294354735678
198,0.9201821108767133,0.9583786781792694
199,0.9198422542814337,0.9581277858770858
200,0.919502531097505,0.9578767595145093
201,0.9191629403962801,0.9576256000273795
202,0.9188234812604522,0.9573743083400826
203,0.9184841527838614,0.9571228853657489
204,0.9181449540713051,0.9568713320064433
205,0.9178058842383523,0.9566196491533537
206,0.9174669424111623,0.9563678376869744
207,0.9171281277263077,0.956115898477285
208,0.9167894393305994,0.9558638323839264
209,0.9164508763809188,0.9556116402563734
210,0.9161124380440491,0.9553593229341014
211,0.9157741234965143,0.9551068812467529
212,0.915435931924419,0.9548543160142969
213,0.9150978625232923,0.9546016280471881
214,0.9147599144979353,0.9543488181465204
215,0.9144220870622715,0.9540958871041788
216,0.9140843794392004,0.9538428357029874
217,0.9137467908604536,0.9535896647168542
218,0.9134093205664546,0.9533363749109136
219,0.9130719678061812,0.9530829670416653
220,0.91273473183703,0.9528294418571108
221,0.9123976119246855,0.9525758000968871
222,0.9120606073429891,0.9523220424923976
223,0.9117237173738135,0.9520681697669398
224,0.9113869413069376,0.951814182635832
225,0.911050278439925,0.951560081806536
226,0.910713728078004,0.9513058679787774
227,0.910377289533951,0.951051541844665
228,0.910040962127976,0.9507971040888064
229,0.909704745187609,0.9505425553884214
230,0.9093686380475902,0.9502878964134542
231,0.9090326400497619,0.9500331278266825
232,0.9086967505429621,0.9497782502838249
233,0.9083609688829202,0.9495232644336461
234,0.9080252944321555,0.9492681709180604
235,0.9076897265598762,0.9490129703722322
236,0.9073542646418814,0.9487576634246767
237,0.907018908060465,0.9485022506973557
238,0.9066836562043208,0.9482467328057748
239,0.9063485084684493,0.947991110359076
240,0.906013464254067,0.9477353839601308
241,0.9056785229685173,0.9474795542056299
242,0.9053436840251815,0.9472236216861722
243,0.905008946843394,0.9469675869863518
244,0.9046743108483566,0.9467114506848434
245,0.9043397754710564,0.9464552133544865
246,0.9040053401481835,0.9461988755623676
247,0.9036710043220513,0.9459424378699008
248,0.9033367674405176,0.9456859008329083
249,0.9030026289569081,0.9454292650016966
250,0.9026685883299395,0.9451725309211351
251,0.9023346450236457,0.9449156991307299
252,0.9020007985073049,0.9446587701646985
253,0.9016670482553668,0.9444017445520418
254,0.901333393747383,0.9441446228166163
255,0.9009998344679369,0.9438874054772031
256,0.9006663699065758,0.9436300930475773
257,0.9003329995577443,0.9433726860365761
258,0.8999997229207177,0.9431151849481643
259,0.8996665394995383,0.9428575902815002
260,0.899333448802951,0.9425999025309999
261,0.899000450344341,0.9423421221864001
262,0.8986675436416728,0.9420842497328201
263,0.8983347282174298,0.9418262856508229
264,0.8980020035985543,0.9415682304164754
265,0.8976693693163899,0.9413100845014067
266,0.8973368249066239,0.9410518483728666
267,0.8970043699092307,0.9407935224937821
268,0.8966720038684166,0.9405351073228136
269,0.8963397263325652,0.9402766033144102
270,0.8960075368541838,0.9400180109188635
271,0.8956754349898504,0.9397593305823612
272,0.8953434203001622,0.9395005627470389
273,0.8950114923496844,0.9392417078510321
274,0.8946796507068997,0.9389827663285274
275,0.8943478949441598,0.9387237386098107
276,0.8940162246376357,0.9384646251213185
277,0.8936846393672709,0.938205426285684
278,0.8933531387167335,0.9379461425217862
279,0.8930217222733704,0.9376867742447955
280,0.8926903896281619,0.9374273218662205
281,0.8923591403756767,0.9371677857939525
282,0.8920279741140275,0.9369081664323111
283,0.8916968904448282,0.9366484641820865
284,0.8913658889731508,0.936388679440584
285,0.8910349693074832,0.9361288126016658
286,0.8907041310596883,0.9358688640557927
287,0.8903733738449627,0.9356088341900658
288,0.8900426972817971,0.9353487233882662
289,0.8897121009919365,0.9350885320308957
290,0.8893815846003413,0.9348282604952152
