N_out,P_low,P_upp
0,1.0617044189364933e-06,1.0
1,0.9986194046686282,0.9999999999694824
2,0.9984253565400651,0.9999999309235541
3,0.998248859177985,0.9999989587043954
4,0.9980836017102841,0.999995627915479
5,0.9979263704382243,0.9999891077652998
6,0.9977752552270767,0.999979226646843
7,0.9976290076591958,0.9999661314126783
8,0.997486757145028,0.9999500803998592
9,0.9973478672233673,0.9999313520219156
10,0.9972118554634081,0.9999102093884485
11,0.9970783456458784,0.9998868888932433
12,0.9969470375123298,0.9998615985191328
13,0.996817686799703,0.9998345198064282
14,0.9966900915819082,0.9998058109584248
15,0.9965640826190035,0.9997756100595092
16,0.9964395163737504,0.9997440380216072
17,0.9963162698406275,0.9997112011455287
18,0.9961942366431349,0.9996771932944908
19,0.9960733240380261,0.9996420977182396
20,0.995953450581125,0.9996059885774728
21,0.9958345442841151,0.9995689322172174
22,0.9957165411415302,0.9995309882323669
23,0.9955993839408087,0.9994922103619726
24,0.995483021291522,0.9994526472426082
25,0.9953674068263237,0.9994123430456342
26,0.9952524985378194,0.9993713380185679
27,0.9951382582241073,0.9993296689469995
28,0.9950246510219543,0.9992873695504113
29,0.9949116450112097,0.9992444708227981
30,0.9947992108776279,0.9992010013269993
31,0.9946873216238424,0.9991569874500363
32,0.9945759523203412,0.9991124536254822
33,0.994465079889923,0.9990674225278336
34,0.9943546829201857,0.9990219152429969
35,0.9942447414998135,0.9989759514183584
36,0.9941352370750074,0.998929549395285
37,0.9940261523231112,0.998882726326493
38,0.9939174710410296,0.9988354982803216
39,0.9938091780462821,0.9987878803336198
40,0.9937012590890847,0.9987398866547472
41,0.9935937007739154,0.9986915305779002
42,0.9934864904893957,0.9986428246698632
43,0.9933796163453876,0.9985937807900833
44,0.9932730671164445,0.9985444101448758
45,0.9931668321908657,0.998494723336434
46,0.9930609015246395,0.9984447304072269
47,0.9929552655997603,0.9983944408803236
48,0.9928499153863989,0.9983438637960668
49,0.9927448423084926,0.9982930077455036
50,0.9926400382124229,0.9982418809009121
51,0.9925354953383863,0.9981904910437168
52,0.9924312062942495,0.9981388455900759
53,0.9923271640315704,0.9980869516143528
54,0.9922233618235974,0.9980348158706995
55,0.992119793245084,0.9979824448129243
56,0.9920164521536382,0.9979298446127937
57,0.9919133326726034,0.9978770211769563
58,0.9918104291751895,0.997823980162559
59,0.9917077362698439,0.9977707269917259
60,0.9916052487866933,0.9977172668649639
61,0.991502961764968,0.9976636047736068
62,0.9914008704413115,0.9976097455113824
63,0.9912989702389984,0.9975556936851779
64,0.9911972567577774,0.9975014537250328
65,0.9910957257645251,0.9974470298935063
66,0.9909943731844552,0.9973924262943712
67,0.9908931950929512,0.997337646880769
68,0.9907921877079027,0.9972826954628182
69,0.9906913473825916,0.9972275757147508
70,0.9905906705989517,0.997172291181575
71,0.9904901539613289,0.9971168452853564
72,0.9903897941905692,0.9970612413310829
73,0.9902895881185121,0.9970054825121972
74,0.9901895326827734,0.9969495719157819
75,0.9900896249218731,0.9968935125274556
76,0.9899898619706367,0.9968373072359689
77,0.9898902410558617,0.9967809588375426
78,0.9897907594922163,0.9967244700399587
79,0.9896914146784104,0.9966678434664309
80,0.9895922040935344,0.9966110816592406
81,0.9894931252936272,0.9965541870831951
82,0.9893941759084233,0.9964971621288875
83,0.9892953536382716,0.9964400091157843
84,0.989196656251243,0.996382730295152
85,0.9890980815803166,0.9963253278528196
86,0.9889996275208295,0.9962678039118327
87,0.9889012920279358,0.9962101605349156
88,0.9888030731142818,0.9961523997268695
89,0.9887049688477475,0.996094523436806
90,0.9886069773493411,0.9960365335602973
91,0.9885090967911452,0.9959784319413997
92,0.988411325394404,0.9959202203746057
93,0.9883136614277017,0.9958619006066822
94,0.9882161032051944,0.9958034743384215
95,0.9881186490849722,0.9957449432263272
96,0.988021297467431,0.9956863088841983
97,0.9879240467937934,0.9956275728846745
98,0.9878268955446707,0.9955687367606735
99,0.9877298422386381,0.9955098020067769
100,0.9876328854309581,0.9954507700805805
101,0.9875360237123064,0.9953916424039434
102,0.987439255707558,0.9953324203642079
103,0.9873425800746503,0.9952731053153658
104,0.9872459955034664,0.9952136985791631
105,0.9871495007147983,0.9951542014461697
106,0.9870530944593013,0.9950946151767907
107,0.9869567755165665,0.9950349410022605
108,0.9868605426941396,0.9949751801255584
109,0.9867643948267016,0.9949153337223339
110,0.9866683307751353,0.9948554029417314
111,0.9865723494257527,0.9947953889072595
112,0.9864764496895011,0.9947352927175601
113,0.9863806305011995,0.9946751154471744
114,0.9862848908188021,0.9946148581472807
115,0.9861892296227192,0.9945545218464042
116,0.9860936459151326,0.9944941075510845
117,0.9859981387193464,0.9944336162465337
118,0.985902707079189,0.9943730488972667
119,0.9858073500583673,0.9943124064476913
120,0.9857120667399445,0.9942516898227157
121,0.9856168562257619,0.9941908999282789
122,0.985521717635875,0.9941300376519031
123,0.9854266501080925,0.9940691038632296
124,0.9853316527974397,0.9940080994144911
125,0.9852367248756986,0.9939470251410151
126,0.9851418655309406,0.9938858818616821
127,0.9850470739670817,0.9938246703793768
128,0.9849523494034367,0.9937633914814221
129,0.9848576910743471,0.9937020459400072
130,0.9847630982287264,0.9936406345125687
131,0.9846685701297059,0.9935791579422104
132,0.9845741060542567,0.993517616958064
133,0.9844797052928232,0.993456012275655
134,0.9843853671489854,0.9933943445972591
135,0.9842910909390729,0.9933326146122367
136,0.9841968759919325,0.9932708229973894
137,0.9841027216485078,0.9932089704172271
138,0.9840086272615903,0.9931470575243344
139,0.9839145921955436,0.9930850849596383
140,0.9838206158259659,0.9930230533526856
141,0.9837266975394191,0.9929609633219522
142,0.9836328367331874,0.9928988154751113
143,0.9835390328150261,0.9928366104092791
144,0.9834452852028553,0.9927743487112666
145,0.9833515933245641,0.9927120309578555
146,0.9832579566177462,0.9926496577160107
147,0.9831643745295005,0.9925872295431277
148,0.9830708465161796,0.9925247469872402
149,0.9829773720431745,0.9924622105872548
150,0.9828839505847197,0.992399620873163
151,0.9827905816236856,0.9923369783662368
152,0.9826972646513792,0.9922742835792322
153,0.9826039991673536,0.9922115370165824
154,0.9825107846792058,0.9921487391745861
155,0.9824176207024296,0.9920858905415988
156,0.9823245067602191,0.9920229915981914
157,0.9822314423832829,0.9919600428173332
158,0.9821384271097102,0.9918970446645694
159,0.9820454604847918,0.9918339975981654
