N_out,P_low,P_upp
0,0.9961518431533841,1.0
1,0.9953377137215484,0.999999999589494
2,0.9946461859389327,0.9999995146342225
3,0.9940168657117685,0.9999940984765937
4,0.9934272787832309,0.9999777057947888
5,0.9928660141221046,0.9999478052920321
6,0.9923263040429231,0.9999044284604841
7,0.9918037328106032,0.999848590483599
8,0.9912952253273022,0.999781542312597
9,0.990798535915095,0.9997044927452942
10,0.9903119640329185,0.999618522542545
11,0.9898341845318891,0.9995245703121935
12,0.9893641405381249,0.9994234430973975
13,0.9889009727935667,0.9993158337670295
14,0.9884439713201079,0.9992023386408948
15,0.9879925413337527,0.9990834731815643
16,0.9875461785791001,0.9989596852698779
17,0.9871044510798537,0.9988313661927887
18,0.9866669853731058,0.9986988596591689
19,0.9862334559481994,0.9985624691827363
20,0.9858035770216282,0.9984224641373213
21,0.9853770960449624,0.9982790847406986
22,0.9849537885187442,0.9981325461753111
23,0.9845334538044983,0.9979830420127433
24,0.9841159117093476,0.9978307470747423
25,0.9837009996756366,0.9976758198363187
26,0.9832885704493499,0.9975184044549026
27,0.982878490131131,0.9973586324925741
28,0.9824706365357639,0.9971966243850693
29,0.9820648978023985,0.9970324907007839
30,0.9816611712101609,0.9968663332247351
31,0.9812593621631848,0.9966982458958956
32,0.9808593833163197,0.9965283156211159
33,0.9804611538183726,0.9963566229846881
34,0.9800645986541069,0.9961832428692774
35,0.9796696480696759,0.9960082450012484
36,0.9792762370688987,0.9958316944312399
37,0.978884304969978,0.9956536519590627
38,0.9784937950140163,0.9954741745105466
39,0.9781046540181112,0.9952933154727632
40,0.9777168320669745,0.9951111249930749
41,0.9773302822379654,0.9949276502466361
42,0.9769449603552143,0.9947429356762989
43,0.9765608247691561,0.9945570232083031
44,0.9761778361583345,0.9943699524466597
45,0.9757959573507855,0.9941817608487293
46,0.9754151531626835,0.9939924838841641
47,0.9750353902522522,0.9938021551790904
48,0.9746566369872122,0.9936108066471673
49,0.9742788633242581,0.9934184686089446
50,0.9739020406992596,0.9932251699007707
51,0.9735261419270398,0.9930309379743392
52,0.973151141109729,0.992835798987839
53,0.972777013552813,0.9926397778895537
54,0.9724037356881006,0.9924428984946584
55,0.9720312850029245,0.9922451835558764
56,0.9716596399749697,0.9920466548285849
57,0.9712887800121932,0.9918473331308897
58,0.9709186853973533,0.9916472383991378
59,0.9705493372367279,0.9914463897392809
60,0.9701807174126368,0.9912448054744625
61,0.9698128085394314,0.9910425031891624
62,0.9694455939226455,0.9908394997701963
63,0.9690790575210346,0.9906358114448408
64,0.9687131839112574,0.9904314538163248
65,0.9683479582549777,0.990226441896906
66,0.9679833662681875,0.9900207901387313
67,0.9676193941925705,0.9898145124626573
68,0.9672560287687417,0.9896076222851946
69,0.9668932572112156,0.9894001325437235
70,0.966531067184968,0.989192055720112
71,0.9661694467834696,0.9889834038628605
72,0.9658083845080795,0.988774188607882
73,0.9654478692486961,0.9885644211980205
74,0.9650878902655751,0.9883541125013988
75,0.9647284371722277,0.9881432730286805
76,0.9643694999193216,0.987931912949324
77,0.9640110687795151,0.9877200421068993
78,0.9636531343331581,0.9875076700335318
79,0.9632956874547994,0.9872948059635352
80,0.9629387193004477,0.987081458846286
81,0.9625822212955326,0.9868676373583919
82,0.9622261851235215,0.986653349915201
83,0.9618706027151475,0.9864386046816938
84,0.9615154662382097,0.9862234095827982
85,0.961160768087909,0.9860077723131659
86,0.9608065008776847,0.985791700346442
87,0.9604526574305219,0.9855752009440607
88,0.960099230770698,0.9853582811635961
89,0.9597462141159451,0.9851409478666956
90,0.9593936008699995,0.9849232077266203
91,0.9590413846155166,0.9847050672354174
92,0.9586895591073306,0.9844865327107439
93,0.9583381182660361,0.9842676103023649
94,0.9579870561718757,0.9840483059983428
95,0.9576363670589143,0.9838286256309371
96,0.9572860453094839,0.9836085748822299
97,0.9569360854488845,0.9833881592894927
98,0.9565864821403264,0.9831673842503097
99,0.9562372301801001,0.9829462550274698
100,0.9558883244929621,0.9827247767536408
101,0.9555397601277249,0.9825029544358371
102,0.9551915322530397,0.9822807929596927
103,0.9548436361533613,0.9820582970935476
104,0.9544960672250881,0.981835471492361
105,0.9541488209728637,0.9816123207014563
106,0.9538018930060366,0.98138884916011
107,0.9534552790352658,0.9811650612049903
108,0.9531089748692685,0.9809409610734529
109,0.9527629764116993,0.9807165529067035
110,0.9524172796581573,0.9804918407528307
111,0.952071880693313,0.9802668285697173
112,0.9517267756881503,0.9800415202278354
113,0.9513819608973169,0.9798159195129318
114,0.9510374326565786,0.9795900301286073
115,0.9506931873803731,0.9793638556987964
116,0.9503492215594574,0.9791373997701509
117,0.9500055317586448,0.9789106658143342
118,0.9496621146146281,0.9786836572302261
119,0.9493189668338847,0.9784563773460476
120,0.9489760851906583,0.9782288294214047
121,0.9486334665250173,0.9780010166492574
122,0.9482911077409821,0.977772942157817
123,0.9479490058047219,0.9775446090123734
124,0.9476071577428157,0.9773160202170583
125,0.9472655606405759,0.9770871787165433
126,0.9469242116404311,0.9768580873976793
127,0.9465831079403656,0.9766287490910779
128,0.946242246792414,0.9763991665726368
129,0.9459016255012074,0.9761693425650138
130,0.9455612414225691,0.9759392797390485
131,0.9452210919621601,0.9757089807151371
132,0.9448811745741676,0.9754784480645592
133,0.9445414867600402,0.9752476843107608
134,0.9442020260672639,0.9750166919305947
135,0.9438627900881785,0.9747854733555189
136,0.9435237764588339,0.974554030972757
137,0.9431849828578825,0.974322367126419
138,0.9428464070055085,0.9740904841185873
139,0.9425080466623907,0.9738583842103673
140,0.9421698996286996,0.9736260696229038
141,0.9418319637431243,0.973393542538366
142,0.9414942368819328,0.9731608051009013
143,0.9411567169580588,0.972927859417559
144,0.9408194019202194,0.9726947075591852
145,0.9404822897520575,0.9724613515612911
146,0.9401453784713127,0.9722277934248933
147,0.9398086661290163,0.9719940351173292
148,0.9394721508087098,0.9717600785730485
149,0.9391358306256895,0.9715259256943792
150,0.9387997037262702,0.9712915783522728
151,0.9384637682870732,0.9710570383870252
152,0.9381280225143348,0.9708223076089788
153,0.9377924646432334,0.970587387799202
154,0.9374570929372387,0.9703522807101501
155,0.9371219056874772,0.9701169880663071
156,0.9367869012121178,0.9698815115648082
157,0.9364520778557738,0.9696458528760459
158,0.9361174339889219,0.9694100136442575
159,0.9357829680073378,0.9691739954880977
160,0.9354486783315481,0.9689378000011933
161,0.9351145634062957,0.9687014287526844
162,0.9347806217000222,0.9684648832877488
163,0.9344468517043625,0.968228165128114
164,0.9341132519336547,0.9679912757725534
165,0.9337798209244622,0.9677542166973696
166,0.9334465572351092,0.967516989356866
167,0.9331134594452284,0.9672795951838034
168,0.9327805261553213,0.9670420355898464
169,0.9324477559863289,0.966804311965997
170,0.9321151475792155,0.9665664256830174
171,0.9317826995945615,0.966328378091841
172,0.9314504107121678,0.9660901705239732
173,0.9311182796306706,0.9658518042918814
174,0.9307863050671654,0.9656132806893765
175,0.9304544857568415,0.9653746009919817
176,0.9301228204526242,0.9651357664572949
177,0.9297913079248282,0.9648967783253406
178,0.929459946960818,0.9646576378189123
179,0.9291287363646776,0.964418346143908
180,0.928797674956888,0.9641789044896556
181,0.9284667615740128,0.9639393140292319
182,0.9281359950683917,0.9636995759197725
183,0.9278053743078416,0.9634596913027744
184,0.9274748981753639,0.963219661304392
185,0.9271445655688606,0.9629794870357247
186,0.9268143754008559,0.9627391695930988
187,0.9264843265982248,0.9624987100583418
188,0.9261544181019282,0.9622581094990503
189,0.9258246488667546,0.9620173689688523
190,0.9254950178610674,0.9617764895076618
191,0.9251655240665577,0.9615354721419294
192,0.9248361664780047,0.961294317884885
193,0.9245069441030392,0.9610530277367767
194,0.9241778559619143,0.9608116026851031
195,0.9238489010872806,0.9605700437048404
196,0.9235200785239668,0.9603283517586648
