N_out,P_low,P_upp
0,0.8709635899560801,1.0
1,0.8297984734498509,0.9999799901935271
2,0.7951044105947384,0.9990831605705521
3,0.7636976279285458,0.9961185503870216
4,0.7344187221364922,0.9912002635594502
5,0.7066864947990714,0.9847070484468096
6,0.680159225544284,0.9769449825700814
7,0.6546154482500138,0.9681361888214927
8,0.6299018665174506,0.9584422127793726
9,0.6059072291611615,0.947983125404775
10,0.5825478913254728,0.9368503025791631
11,0.5597592362046703,0.925114778255455
12,0.5374902852633074,0.9128327808718761
13,0.5157001575142658,0.9000494883305308
14,0.4943556578819597,0.8868016368864788
15,0.4734295851598349,0.8731193751045196
16,0.45289951553774244,0.8590276081070065
17,0.4327469104851974,0.8445469893145611
18,0.4129564521458272,0.829694662751907
19,0.39351554246894405,0.8144848249423535
20,0.3744139230995136,0.7989291534925813
21,0.3556433865252562,0.783037135024385
22,0.3371975579676332,0.7668163153683972
23,0.31907173367212116,0.750272488205092
24,0.30126276562107246,0.7334098335642081
25,0.28376898590196276,0.7162310140980374
26,0.2665901664357919,0.6987372343789275
27,0.24972751179490804,0.6809282663278788
28,0.23318368463160288,0.6628024420323668
29,0.216962864975615,0.6443566134747438
30,0.2010708465074187,0.6255860769004864
31,0.18551517505764648,0.606484457531056
32,0.17030533724809305,0.5870435478541728
33,0.15545301068543893,0.5672530895148027
34,0.14097239189299338,0.5471004844622576
35,0.12688062489548035,0.5265704148401653
36,0.11319836311352116,0.5056443421180403
37,0.09995051166946922,0.4842998424857342
38,0.08716721912812386,0.46250971473669256
39,0.07488522174454504,0.4402407637953297
40,0.06314969742083698,0.4174521086745273
41,0.05201687459522497,0.39409277083883854
42,0.04155778722062753,0.3700981334825494
43,0.03186381117850734,0.34538455174998617
44,0.023055017429918556,0.319840774455716
45,0.015292951553190437,0.2933135052009287
46,0.008799736440549766,0.2655812778635078
47,0.003881449612978427,0.23630237207145421
48,0.0009168394294478688,0.20489558940526165
49,2.000980647287598e-05,0.17020152655014908
50,0.0,0.12903641004391952
